,Metabolite abbrv.,BiGG ID,Metabolite,Metabolite value [gDW/mmol],Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],R2,Species,Carbon source,Dataset
0,G6P,g6p_A,Glucose-6-phosphate,0.08101745453708564,5.3,6,259.127841,0.002147510873624176,7.996724750148623e-05,0.9903870530241533,B. licheniformis,Glucose,Paczia-13
1,F6P,f6p_B,Fructose-6-phosphate,0.08101856591145595,5.1982443174048605,6,259.127841,0.0009204544611808763,4.470859195883148e-05,0.983753430565585,B. licheniformis,Glucose,Paczia-13
2,DHAP,dhap,Dihydroxyacetonephosphate,0.04323342910884098,31.1446523000931,3,169.049901,0.0010711973374746412,3.647242685637052e-05,0.9919503255036163,B. licheniformis,Glucose,Paczia-13
3,GA3P,g3p,Glyceraldehyde-3-phosphate,0.04323352711890216,9.572016558681614,3,169.049901,0.00041055171986190895,2.6006271347911986e-05,0.9842033406139447,B. licheniformis,Glucose,Paczia-13
4,23PG,2pg,2/3-phosphoglycerate,0.03435811451592552,8.110633317998907,3,184.041361,0.0013756596203745558,0.00012617126855178415,0.9714000594809006,B. licheniformis,Glucose,Paczia-13
5,23PG,3pg,2/3-phosphoglycerate,0.03435811451592552,9.380942913392873,3,184.041361,0.0013756596203745558,0.00012617126855178415,0.9714000594809006,B. licheniformis,Glucose,Paczia-13
6,PEP,pep,Phosphoenolpyruvate,0.03441062258187633,8.110633317998907,3,166.026081,0.0010400724441931618,4.57080575776243e-05,0.9866609672546026,B. licheniformis,Glucose,Paczia-13
7,R5P,r5p,Ribose-5-phosphate,0.06842572878492104,0.1985724591190307,5,229.101861,0.0013190604900371015,2.7033074731458387e-05,0.9970685363206714,B. licheniformis,Glucose,Paczia-13
8,RU5P+X5P,ru5p__D,Ribu-/Xylulose-5-phosphate,0.06842551252987383,0.17380898412828216,5,229.101861,0.0002765597066339626,6.716590139101477e-06,0.9979398810048195,B. licheniformis,Glucose,Paczia-13
9,RU5P+X5P,xu5p__D,Ribu-/Xylulose-5-phosphate,0.06842494499865182,0.17380898412828247,5,229.101861,0.0002765597066339626,6.716590139101477e-06,0.9979398810048195,B. licheniformis,Glucose,Paczia-13
10,E4P,e4p,Erythrose-4-phosphate,0.05582722065698431,0.16589295570904905,4,199.075881,2.8297978177469177e-05,1.2317174240446493e-06,0.9869115675832497,B. licheniformis,Glucose,Paczia-13
11,CIT,cit,Citrate,0.05669387407330473,4.5237527147740115,6,189.09969999999998,0.006318810089101021,0.00015062960522347927,0.9960379132543923,B. licheniformis,Glucose,Paczia-13
12,ACN,acon,Cis-aconitate,0.056697135071381854,4.483496137175732,6,171.08442,0.0006988408095916874,1.752795265305455e-05,0.995615746440596,B. licheniformis,Glucose,Paczia-13
13,ICIT,icit,Isocitrate,0.05670035031813403,4.483496137175732,6,189.09969999999998,0.001084723379937942,5.734520291742644e-05,0.980811554230136,B. licheniformis,Glucose,Paczia-13
14,ASN,asn__L,Asparagine,0.05608263457143603,0.06849957064573757,4,132.11792,0.0002355293825838269,1.1153556253242593e-05,0.9933173943722089,B. licheniformis,Glucose,Paczia-13
15,GLU,glu__L,Glutamate,0.055831285122653895,3.4652486422046245,5,146.12132,0.009533355490324812,0.0009365119467829748,0.9628339460395636,B. licheniformis,Glucose,Paczia-13
16,SER,ser__L,L-serine,0.03818174886647263,1.3229456892126217,3,105.09258,2.2132108657416453e-05,0.0,0.9999999999999998,B. licheniformis,Glucose,Paczia-13
17,ASP,asp__L,Aspartate,0.0432026882105363,0.6862799288021468,4,132.09474,4.8941883720173676e-05,2.9241092249283126e-06,0.9756215962582157,B. licheniformis,Glucose,Paczia-13
18,GLN,gln__L,Glutamine,0.06353452479301858,0.6530949843482998,5,146.1445,0.0014969963669578784,0.00010908417728910581,0.9792023405516173,B. licheniformis,Glucose,Paczia-13
19,HOM,hom__L,Homoserine,0.05902209925221502,0.052456835064777114,4,119.11916,0.00042126932996046715,2.781577156138872e-05,0.9703854687659265,B. licheniformis,Glucose,Paczia-13
20,TYR,tyr__L,Tyrosine,0.13830310039947835,0.05128283788619349,9,181.18854,1.3024357612983066e-05,1.996455153711228e-06,0.8587547962625461,B. licheniformis,Glucose,Paczia-13
21,GLY,gly,Glycine,0.02455745415535504,1.0966682316908656,2,75.0666,0.0031310860053225353,0.00011492656941793482,0.997312724159188,B. licheniformis,Glucose,Paczia-13
22,PRO,pro__L,Proline,0.06645839930471964,0.07436892569653934,5,114.12252,0.0009462140978622256,0.0002808051233407941,0.7394903887024857,B. licheniformis,Glucose,Paczia-13
23,ALA,ala__L,Alanine,0.039315141900153616,2.430871607724253,3,89.09318,0.03715517935729014,0.010521075896185091,0.8060949794845641,B. licheniformis,Glucose,Paczia-13
24,MET,met__L,Methionine,0.12280966213493172,0.05251643714891178,5,149.21134,3.6280742509185286e-05,2.495246638451957e-06,0.9679501746168149,B. licheniformis,Glucose,Paczia-13
25,VAL,val__L,Valine,0.07459110965606919,0.14201244359034892,5,117.14634,0.0005777125700844112,7.855403485625778e-05,0.8854078733378602,B. licheniformis,Glucose,Paczia-13
26,PHE,phe__L,Phenylalanine,0.1453847383370621,0.08141206764521926,9,165.18913999999998,0.0001631885532939391,7.674170612125678e-06,0.9847556110883443,B. licheniformis,Glucose,Paczia-13
27,LEU+ILEU,leu__L,Leucine/Isoleucine,0.092111996661004,0.16030497243902678,6,131.17291999999998,5.79130549743463e-05,1.9399007194007666e-05,0.7481612636488278,B. licheniformis,Glucose,Paczia-13
28,LEU+ILEU,ile__L,Leucine/Isoleucine,0.09490046529166407,0.12489370163954923,6,131.17291999999998,5.79130549743463e-05,1.9399007194007666e-05,0.7481612636488278,B. licheniformis,Glucose,Paczia-13
29,HIS,his__L,Histidine,0.10441634882182305,0.03780805028031154,6,155.15456,-0.0001635827740466315,2.9708837057086718e-05,0.8124241121746971,B. licheniformis,Glucose,Paczia-13
30,PYR,pyr,Pyruvate,0.03312329157997285,11.320792178411775,3,87.05412,0.17118551142912897,0.011161985238091721,0.9751251491136463,B. licheniformis,Glucose,Paczia-13
31,ORO,orot,Orotate,0.058886690344084336,0.050992921641054983,5,155.08832,0.00029757679727991133,6.819597322076589e-05,0.7311890066527869,B. licheniformis,Glucose,Paczia-13
32,FUM,fum,Fumarate,0.04404309955677865,4.2850926912532445,4,114.05628,0.006584458519698073,0.000748144899497368,0.9281079219988475,B. licheniformis,Glucose,Paczia-13
33,URA,ura,Uracil,0.06534213929519361,0.009539359529835952,4,112.08676,0.005487125813712265,0.000713579248870541,0.8941473529108341,B. licheniformis,Glucose,Paczia-13
34,AKG,akg,alpha-ketoglutarate,0.05372949622322598,6.890830958949012,5,144.08226000000002,0.014233281066411519,0.0011788455929051154,0.9604689476018299,B. licheniformis,Glucose,Paczia-13
35,SHI,skm,Shikimate,0.09717655588778462,0.15797692728981563,7,173.14336,0.0004655550082209392,6.500762988168443e-05,0.8799060808456098,B. licheniformis,Glucose,Paczia-13
36,ACT,ac,Acetate,0.02342537079379481,1.436056721962049,2,59.04402,3.0010150649045295,0.21453345400171503,0.9702498916250998,B. licheniformis,Glucose,Paczia-13
