ionMz,Metabolite,KEGG,All metabolite names,Alt. annotations,Classes,Classification
57.0346,Propanal,C00479,Propanal,,Organic oxygen compounds,Organic oxygen compounds
59.0135,Acetatic acid,C00033;C00266,Acetatic acid / Glycolaldehyde,Glycolaldehyde,Organic oxygen compounds;Carboxylic acids,Mixed
71.0141,Pyruvaldehyde,C00546,Pyruvaldehyde,,Organic oxygen compounds,Organic oxygen compounds
72.0093,Iminoacetate,C15809,Iminoacetate,,Unknown,Unknown
72.9932,Glyoxylic acid,C00048,Glyoxylic acid,,Carboxylic acids,Carboxylic acids
73.0297,C3:0 (Propionic acid),C00163;C00424;C00937;C05999,(S)-Lactaldehyde / Lactaldehyde / C3:0 (Propionic acid),(S)-Lactaldehyde / Lactaldehyde,Organic oxygen compounds;Carboxylic acids,Mixed
74.025,Glycine,C00037,Glycine,,Amino acids,Amino acids
75.0089,Glycolate,C00160,Glycolate,,Unknown,Unknown
85.0297,Diacetyl,C00741,Diacetyl,,Unknown,Unknown
87.0088,Pyruvate,C00022;C00222,Malonic semialdehyde / Pyruvate,Malonic semialdehyde,Organic oxygen compounds;Keto / hydroxy acids,Mixed
87.0452,C4:0 (Butyric acid),C00246;C00466,Acetoin / C4:0 (Butyric acid),Acetoin,Lipid-like molecules,Lipid-like molecules
88.0406,Alanine,C00041;C00099;C00133;C00213,Alanine / Sarcosine / beta-Alanine,Sarcosine / beta-Alanine,Amino acids,Amino acids
89.0247,Lactate,C00184;C00186;C00256;C00577;C01013;C02426,3-Hydroxypropanoate / Dihydroxyacetone / Glyceraldehyde / Lactate,3-Hydroxypropanoate / Dihydroxyacetone / Glyceraldehyde,Organic oxygen compounds;Keto / hydroxy acids,Mixed
91.0402,Glycerol,C00116,Glycerol,,Organic oxygen compounds,Organic oxygen compounds
93.0347,Phenol,C15584,Phenol,,Unknown,Unknown
100.0407,2-Aminobut-2-enoate,C17234,2-Aminobut-2-enoate,,Unknown,Unknown
101.0245,Oxobutanoic acid,C00109;C00164;C00232;C00349;C06002,Oxobutanoic acid / 2-Ketobutyric acid / 2-Methyl-3-oxopropanoate / Acetoacetic acid / Succinic acid semialdehyde,2-Ketobutyric acid / 2-Methyl-3-oxopropanoate / Acetoacetic acid / Succinic acid semialdehyde,Lipid-like molecules;Organic oxygen compounds;Keto / hydroxy acids,Mixed
101.061,Pentanoic acid,C08262,Pentanoic acid,,Unknown,Unknown
102.0199,2-Aminomalonate semialdehyde,C11822;C20249,2-Aminomalonate semialdehyde / Peroxyaminoacrylate,Peroxyaminoacrylate,Unknown,Unknown
102.0562,Aminobutanoic acid (ABA),C00334;C01026;C03284;C03665,"Aminobutanoic acid (ABA) / 2-Aminoisobutyric acid / N,N-Dimethylglycine / gamma-Aminobutyric acid","2-Aminoisobutyric acid / N,N-Dimethylglycine / gamma-Aminobutyric acid",Amino acids,Amino acids
103.04,Hydroxybutanoic acid,C00989;C01089;C01188;C01991,Hydroxybutanoic acid / 3-Hydroxyisobutyric acid / 4-Hydroxybutanoic acid / gamma-Hydroxybutyrate,3-Hydroxyisobutyric acid / 4-Hydroxybutanoic acid / gamma-Hydroxybutyrate,Lipid-like molecules,Lipid-like molecules
104.0355,Serine,C00065;C00740,Serine,,Amino acids,Amino acids
105.0196,D-Glyceric acid,C00258,D-Glyceric acid,,Organic oxygen compounds,Organic oxygen compounds
107.05,Benzyl alcohol,C00556;C01468,Benzyl alcohol / p-Cresol,p-Cresol,Benzenoids,Other
109.0295,Catechol,C15571,Catechol,,Unknown,Unknown
110.0358,Cytosine,C00380,Cytosine,,Organoheterocyclic compounds,Organoheterocyclic compounds
110.9762,Monomethyl sulfate,C02704,Monomethyl sulfate,,Unknown,Unknown
111.0203,Uracil,C00106,Uracil,,Organoheterocyclic compounds,Organoheterocyclic compounds
113.0245,"2-Hydroxy-2,4-pentadienoic acid",C00596;C07091,"2-Hydroxy-2,4-pentadienoic acid / cis-Acetylacrylate",cis-Acetylacrylate,Lipid-like molecules,Lipid-like molecules
113.0358,Dihydrouracil,C00429;C02512,3-Cyano-alanine / Dihydrouracil,3-Cyano-alanine,Amino acids;Organoheterocyclic compounds,Mixed
114.056,Proline,C00148,Proline,,Amino acids,Amino acids
115.0038,Fumarate,C00122,Fumarate,,Carboxylic acids,Carboxylic acids
115.0402,Ketovaline,C00141,Ketovaline / alpha-Ketoisovaleric acid,alpha-Ketoisovaleric acid,Keto / hydroxy acids,Keto / hydroxy acids
115.0767,Hexanoate (N-C6:0),C01585,Hexanoate (N-C6:0),,Lipid-like molecules,Lipid-like molecules
